Id,tanggal,jumlah_lansia,jumlah_gawat_darurat,total_pasien
1,2025-05-01,9,7,31
2,2025-05-02,16,9,39
3,2025-05-03,15,10,45
4,2025-05-04,13,3,28
5,2025-05-05,13,5,32
6,2025-05-06,16,7,43
7,2025-05-07,9,4,25
8,2025-05-08,18,5,42
9,2025-05-09,8,3,25
10,2025-05-10,16,5,35
11,2025-05-11,11,4,37
12,2025-05-12,12,7,25
13,2025-05-13,9,4,27
14,2025-05-14,14,2,32
15,2025-05-15,12,5,40
16,2025-05-16,10,6,28
17,2025-05-17,13,6,31
18,2025-05-18,8,6,27
19,2025-05-19,13,9,35
20,2025-05-20,12,6,35
21,2025-05-21,15,7,40
22,2025-05-22,13,7,33
23,2025-05-23,20,9,44
24,2025-05-24,14,13,45
25,2025-05-25,12,3,40
26,2025-05-26,11,5,30
27,2025-05-27,15,7,33
28,2025-05-28,18,9,39
29,2025-05-29,14,9,34
30,2025-05-30,18,12,39
31,2025-05-31,20,9,44
32,2025-06-01,13,4,37
33,2025-06-02,13,6,39
34,2025-06-03,12,7,35
35,2025-06-04,8,6,26
36,2025-06-05,15,6,37
37,2025-06-06,17,7,41
38,2025-06-07,15,6,38
39,2025-06-08,12,10,38
40,2025-06-09,12,7,28
41,2025-06-10,15,7,39
42,2025-06-11,10,5,27
43,2025-06-12,22,13,45
44,2025-06-13,13,10,37
45,2025-06-14,15,7,41
46,2025-06-15,12,5,28
47,2025-06-16,19,12,40
48,2025-06-17,10,7,32
49,2025-06-18,17,7,40
50,2025-06-19,19,9,40
51,2025-06-20,12,7,33
52,2025-06-21,14,9,40
53,2025-06-22,12,6,29
54,2025-06-23,10,5,30
55,2025-06-24,14,4,39
56,2025-06-25,21,8,45
57,2025-06-26,12,3,29
58,2025-06-27,12,8,40
59,2025-06-28,14,10,40
60,2025-06-29,18,7,43
61,2025-06-30,15,5,39
62,2025-07-01,19,10,44
63,2025-07-02,15,4,35
64,2025-07-03,15,6,39
65,2025-07-04,12,7,26
66,2025-07-05,16,6,35
67,2025-07-06,7,6,25
68,2025-07-07,15,12,43
69,2025-07-08,10,7,30
70,2025-07-09,10,8,31
71,2025-07-10,12,8,35
72,2025-07-11,14,8,38
73,2025-07-12,13,6,44
74,2025-07-13,10,7,32
75,2025-07-14,8,4,27
76,2025-07-15,10,9,34
77,2025-07-16,15,8,39
78,2025-07-17,14,5,40
79,2025-07-18,12,10,25
80,2025-07-19,11,7,36
81,2025-07-20,12,2,25
82,2025-07-21,7,7,25
83,2025-07-22,15,9,36
84,2025-07-23,9,7,27
85,2025-07-24,15,7,33
86,2025-07-25,13,7,42
87,2025-07-26,18,6,38
88,2025-07-27,8,3,26
89,2025-07-28,11,6,32
90,2025-07-29,12,1,33
91,2025-07-30,13,1,29
92,2025-07-31,15,12,31
93,2025-08-01,13,11,34
94,2025-08-02,14,5,32
95,2025-08-03,16,8,37
96,2025-08-04,10,3,25
97,2025-08-05,19,10,44
98,2025-08-06,8,3,29
99,2025-08-07,15,7,39
100,2025-08-08,14,4,32
101,2025-08-09,17,5,44
