Id,tanggal,jumlah_lansia,jumlah_gawat_darurat,total_pasien
1,2025-05-01,12,6,38
2,2025-05-02,17,6,40
3,2025-05-03,7,3,24
4,2025-05-04,5,2,18
5,2025-05-05,18,5,47
6,2025-05-06,9,5,30
7,2025-05-07,13,5,43
8,2025-05-08,14,4,40
9,2025-05-09,16,7,41
10,2025-05-10,9,3,22
11,2025-05-11,6,2,16
12,2025-05-12,16,6,41
13,2025-05-13,12,5,31
14,2025-05-14,13,5,32
15,2025-05-15,16,5,42
16,2025-05-16,14,4,41
17,2025-05-17,9,4,25
18,2025-05-18,7,3,23
19,2025-05-19,18,5,42
20,2025-05-20,15,6,37
21,2025-05-21,9,3,31
22,2025-05-22,12,5,40
23,2025-05-23,14,4,40
24,2025-05-24,5,2,17
25,2025-05-25,9,3,24
26,2025-05-26,15,9,49
27,2025-05-27,21,8,51
28,2025-05-28,14,7,41
29,2025-05-29,19,5,43
30,2025-05-30,13,7,43
31,2025-05-31,8,3,25
32,2025-06-01,8,2,22
33,2025-06-02,14,6,45
34,2025-06-03,19,5,47
35,2025-06-04,12,5,40
36,2025-06-05,16,6,50
37,2025-06-06,11,3,32
38,2025-06-07,7,4,23
39,2025-06-08,8,2,23
40,2025-06-09,18,8,43
41,2025-06-10,12,6,36
42,2025-06-11,15,5,41
43,2025-06-12,10,4,33
44,2025-06-13,10,4,30
45,2025-06-14,5,1,15
46,2025-06-15,6,3,16
47,2025-06-16,10,4,32
48,2025-06-17,14,5,45
49,2025-06-18,16,5,45
50,2025-06-19,13,5,43
51,2025-06-20,15,5,43
52,2025-06-21,9,4,25
53,2025-06-22,8,3,21
54,2025-06-23,10,4,33
55,2025-06-24,14,5,44
56,2025-06-25,16,9,52
57,2025-06-26,14,6,38
58,2025-06-27,15,6,36
59,2025-06-28,6,3,21
60,2025-06-29,4,1,15
61,2025-06-30,21,9,51
62,2025-07-01,20,8,50
63,2025-07-02,17,6,52
64,2025-07-03,11,6,36
65,2025-07-04,19,5,52
66,2025-07-05,6,2,16
67,2025-07-06,9,2,21
68,2025-07-07,11,5,37
69,2025-07-08,12,4,32
70,2025-07-09,13,7,40
71,2025-07-10,14,4,40
72,2025-07-11,17,5,39
73,2025-07-12,6,2,15
74,2025-07-13,6,2,16
75,2025-07-14,14,6,34
76,2025-07-15,11,5,37
77,2025-07-16,17,6,39
78,2025-07-17,11,5,30
79,2025-07-18,10,6,33
80,2025-07-19,5,2,16
81,2025-07-20,8,2,24
82,2025-07-21,12,5,38
83,2025-07-22,11,3,31
84,2025-07-23,13,3,38
85,2025-07-24,11,5,34
86,2025-07-25,17,8,55
87,2025-07-26,8,2,23
88,2025-07-27,7,2,21
89,2025-07-28,13,4,41
90,2025-07-29,18,7,43
91,2025-07-30,16,9,50
92,2025-07-31,12,7,42
93,2025-08-01,21,9,51
94,2025-08-02,7,2,19
95,2025-08-03,5,2,15
96,2025-08-04,22,7,54
97,2025-08-05,14,4,45
98,2025-08-06,12,5,40
99,2025-08-07,14,5,38
100,2025-08-08,12,7,40
101,2025-08-09,7,2,17
102,2025-08-10,5,2,16
103,2025-08-11,17,5,40
104,2025-08-12,12,4,33
105,2025-08-13,13,3,38
106,2025-08-14,11,4,36
107,2025-08-15,15,6,40
108,2025-08-16,7,2,19
109,2025-08-17,8,3,21
110,2025-08-18,15,5,36
111,2025-08-19,12,5,35
112,2025-08-20,9,3,30
113,2025-08-21,14,5,40
114,2025-08-22,15,5,36
115,2025-08-23,9,2,25
116,2025-08-24,6,2,16
117,2025-08-25,15,8,47
118,2025-08-26,15,7,39
119,2025-08-27,17,6,44
120,2025-08-28,15,7,47
121,2025-08-29,11,6,36
122,2025-08-30,6,2,15
123,2025-08-31,8,2,22
124,2025-09-01,21,8,52
125,2025-09-02,22,10,55
126,2025-09-03,19,7,57
127,2025-09-04,17,8,50
128,2025-09-05,14,5,41
129,2025-09-06,6,1,17
130,2025-09-07,6,1,18
131,2025-09-08,14,6,44
132,2025-09-09,17,5,43
133,2025-09-10,12,5,30
134,2025-09-11,18,6,42
135,2025-09-12,16,6,39
136,2025-09-13,8,4,23
137,2025-09-14,8,2,22
138,2025-09-15,12,4,30
139,2025-09-16,17,7,42
140,2025-09-17,12,6,34
141,2025-09-18,16,6,42
142,2025-09-19,10,5,32
143,2025-09-20,6,1,17
144,2025-09-21,9,2,22
145,2025-09-22,18,5,42
146,2025-09-23,13,5,43
147,2025-09-24,9,5,30
148,2025-09-25,20,8,49
149,2025-09-26,11,7,36
150,2025-09-27,7,2,24
151,2025-09-28,8,4,24
152,2025-09-29,18,5,48
153,2025-09-30,12,7,40
154,2025-10-01,17,6,39
155,2025-10-02,17,10,53
156,2025-10-03,14,7,43
157,2025-10-04,8,4,24
158,2025-10-05,9,3,25
159,2025-10-06,14,4,40
160,2025-10-07,19,4,45
161,2025-10-08,16,7,44
162,2025-10-09,16,6,38
163,2025-10-10,19,6,45
164,2025-10-11,8,3,20
165,2025-10-12,6,3,19
166,2025-10-13,17,6,44
167,2025-10-14,17,4,40
168,2025-10-15,12,5,35
169,2025-10-16,16,5,38
170,2025-10-17,14,5,38
171,2025-10-18,5,1,16
172,2025-10-19,8,3,22
173,2025-10-20,9,3,30
174,2025-10-21,14,4,37
175,2025-10-22,15,6,45
176,2025-10-23,14,5,40
177,2025-10-24,12,4,39
178,2025-10-25,7,2,20
179,2025-10-26,6,2,18
180,2025-10-27,15,8,45
181,2025-10-28,19,6,48
182,2025-10-29,13,4,43
183,2025-10-30,18,7,46
184,2025-10-31,14,5,38
185,2025-11-01,6,2,20
186,2025-11-02,5,2,16
187,2025-11-03,15,4,37
188,2025-11-04,14,8,45
189,2025-11-05,18,9,51
190,2025-11-06,17,5,44
191,2025-11-07,16,5,43
192,2025-11-08,6,2,18
193,2025-11-09,6,2,17
194,2025-11-10,12,3,35
195,2025-11-11,15,5,45
196,2025-11-12,14,6,39
197,2025-11-13,15,7,37
198,2025-11-14,13,5,36
199,2025-11-15,5,3,19
200,2025-11-16,8,3,19
201,2025-11-17,14,5,39
202,2025-11-18,17,6,39
203,2025-11-19,17,6,45
204,2025-11-20,16,7,43
205,2025-11-21,13,3,30
206,2025-11-22,9,4,25
207,2025-11-23,8,3,22
208,2025-11-24,14,4,38
209,2025-11-25,18,7,51
210,2025-11-26,16,8,46
211,2025-11-27,19,8,54
212,2025-11-28,14,4,43
213,2025-11-29,8,3,21
214,2025-11-30,9,4,25
215,2025-12-01,15,5,39
216,2025-12-02,18,10,57
217,2025-12-03,17,6,43
218,2025-12-04,14,7,38
219,2025-12-05,13,5,44
220,2025-12-06,6,1,16
221,2025-12-07,8,4,22
222,2025-12-08,13,5,34
223,2025-12-09,14,5,38
224,2025-12-10,17,5,45
225,2025-12-11,16,5,42
226,2025-12-12,11,6,34
227,2025-12-13,7,3,20
228,2025-12-14,8,3,19
229,2025-12-15,16,8,45
230,2025-12-16,17,6,45
231,2025-12-17,14,6,42
232,2025-12-18,12,7,36
233,2025-12-19,17,5,42
234,2025-12-20,8,3,20
235,2025-12-21,8,4,21
236,2025-12-22,10,5,34
237,2025-12-23,17,7,40
238,2025-12-24,26,11,73
239,2025-12-25,36,15,83
240,2025-12-26,28,15,85
241,2025-12-27,31,9,90
242,2025-12-28,40,13,100
243,2025-12-29,38,14,97
244,2025-12-30,30,15,90
245,2025-12-31,41,10,93
246,2026-01-01,28,9,84
247,2026-01-02,21,9,71
248,2026-01-03,18,8,56
249,2026-01-04,7,4,24
250,2026-01-05,14,6,41
251,2026-01-06,14,5,37
252,2026-01-07,12,5,37
253,2026-01-08,16,6,38
254,2026-01-09,17,8,44
255,2026-01-10,5,2,16
256,2026-01-11,10,4,25
257,2026-01-12,14,8,44
258,2026-01-13,13,7,42
259,2026-01-14,16,6,42
260,2026-01-15,16,3,39
261,2026-01-16,16,5,42
262,2026-01-17,10,4,24
263,2026-01-18,6,2,18
264,2026-01-19,14,5,36
265,2026-01-20,14,5,34
266,2026-01-21,11,4,31
267,2026-01-22,12,7,41
268,2026-01-23,14,5,39
269,2026-01-24,7,3,17
270,2026-01-25,7,3,23
271,2026-01-26,19,8,44
272,2026-01-27,18,8,49
273,2026-01-28,13,6,39
274,2026-01-29,18,5,52
275,2026-01-30,17,6,44
276,2026-01-31,9,3,24
277,2026-02-01,5,2,16
278,2026-02-02,18,7,48
279,2026-02-03,16,8,53
280,2026-02-04,13,4,36
281,2026-02-05,13,7,41
282,2026-02-06,19,6,44
283,2026-02-07,7,4,24
284,2026-02-08,9,2,25
285,2026-02-09,14,8,43
286,2026-02-10,15,4,41
287,2026-02-11,11,6,37
288,2026-02-12,18,6,41
289,2026-02-13,13,4,41
290,2026-02-14,7,2,22
291,2026-02-15,5,2,15
292,2026-02-16,11,6,34
293,2026-02-17,15,5,36
294,2026-02-18,11,4,37
295,2026-02-19,13,3,30
296,2026-02-20,14,5,34
297,2026-02-21,7,4,25
298,2026-02-22,5,2,18
299,2026-02-23,15,3,38
300,2026-02-24,12,5,33
301,2026-02-25,15,6,47
302,2026-02-26,17,5,40
