Kab/Kota,,,,,,,,,,,,,,,,,
,Jumlah Penduduk menurut Kelompok Umur dan Kabupaten/Kota di Provinsi DKI Jakarta (Jiwa),,,,,,,,,,,,,,,,
,4/1/00,5/9/01,10/14/01,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,TOTAL
,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
Kep Seribu,2736,2565,2324,2381,2642,2491,2328,2199,1976,1790,1581,1312,971,611,339,277,28523
Jakarta Selatan,148917,159195,164800,171467,175884,175765,174088,175155,176447,176215,158423,131307,100061,69421,41752,36709,2235606
Jakarta Timur,223688,234365,236113,241086,243352,243200,245030,246610,241768,231322,203846,169169,130976,93144,55257,40692,3079618
Jakarta Pusat,65357,71568,74163,79049,83265,82275,82584,82824,79924,78251,73410,64676,51283,36906,22990,20789,1049314
Jakarta Barat,177478,184543,188331,189332,189563,191611,200745,208376,202432,186830,159684,132196,103077,73516,44941,37399,2470054
Jakarta Utara,136561,141672,140507,138687,138863,141993,148164,151862,147368,135711,113414,92188,72175,52782,31813,25225,1808985
DKI Jakarta,754737,793908,806238,822002,833569,837335,852939,867026,849915,810119,710358,590848,458543,326380,197092,161091,10672100
