Unit Eksekusi Diagnostik Institusi Medis Rumah Sakit Tersier dan Kuartener,Kuadran Yurisdiksi Wilayah Kota Administrasi,Rentang Batas Volume Maksimal Eksekusi Throughput Pemindaian Per Harian Pasien,Titik Elevasi Sumbu Garis Lintang (Latitude / Paralel Selatan Absolut Geospasial),Titik Resolusi Elevasi Sumbu Garis Bujur (Longitude / Meridian Timur Absolut Spasial)
RSUPN Dr. Cipto Mangunkusumo (RSCM) (Multi-Mesin Kelas Rujukan Nasional),Jakarta Pusat,60 - 80,-61.972.417,1.068.467.866
RSPAD Gatot Soebroto (Tipe A Militer),Jakarta Pusat,40 - 55,-6.18333*,106.83333*
RS Islam Jakarta Cempaka Putih,Jakarta Pusat,25 - 35,-61.762.000,1.068.680.000
Siloam Hospitals Agora (Pusat Trauma),Jakarta Pusat,30 - 35,-6.17620*,106.86800*
Primaya Hospital PGI Cikini,Jakarta Pusat,20 - 30,-6.18333*,106.83333*
RSU Murni Teguh Sudirman Jakarta,Jakarta Pusat,25 - 30,-6.21667*,106.81667*
RSU Hermina Kemayoran (Subsidiari Ibu Anak/Neuro),Jakarta Pusat,20 - 25,-6.15583*,106.85222*
RSU Husada Pusat (Warisan Historis),Jakarta Pusat,20 - 25,-6.18333*,106.83333*
RSU Kramat 128,Jakarta Pusat,20 - 25,-6.18333*,106.83333*
RSU Mitra Kemayoran,Jakarta Pusat,25 - 30,-6.18333*,106.83333*
RS Abdi Waluyo (Terpadu MR-HIFU Tumor),Jakarta Pusat (Menteng),25 - 35,-6.19167*,106.83333*
RSUD Pasar Minggu (BPJS Paripurna Selatan),Jakarta Selatan,35 - 45,-6.26667*,106.80833*
Siloam Hospitals TB Simatupang (Ortopedi),Jakarta Selatan,40 - 55,-62.922.591,106.7900000*
Brawijaya Hospital Duren Tiga (Eksekutif Premium),Jakarta Selatan,15 - 25,-6.26667*,106.80833*
MRCCC Siloam Hospitals Semanggi (PET Integrasi Onkologi LINAC),Jakarta Selatan,45 - 60,-6.21944*,106.81667*
Mayapada Hospital Jakarta Selatan (Lebak Bulus/Urologi),Jakarta Selatan,35 - 45,-6.28917*,106.78250*
Rumah Sakit Pondok Indah (RSPI) (Sertifikasi JCI Eksekutif),Jakarta Selatan,45 - 55,-628.441,10.678.102
Rumah Sakit Jakarta (Pusat Long View Ortopedi Spinal 24 Jam),Jakarta Selatan,40 - 50,-6.21667*,106.81667*
RS Medistra (Kardiologi Intervensi Mikro),Jakarta Selatan,35 - 40,-623.972,10.683.383
RSUP Fatmawati (Ortopedi Nasional),Jakarta Selatan,45 - 65,-6.29528*,106.79833*
Klinik Utama Medika SOS Cipete (Evakuasi Medis Expat),Jakarta Selatan,10 - 20,-6.27667*,106.80417*
Mandaya Royal Hospital Puri (Award Bedah Saraf Nasional),Jakarta Barat,40 - 50,-6.19500*,106.71167*
RSJPD Harapan Kita (Pusat Kardiovaskular Nasional),Jakarta Barat,35 - 50,-6.19167*,106.79833*
Pusat Kanker Nasional Rumah Sakit Dharmais,Jakarta Barat,50 - 65,-6.19167*,106.79833*
RS EMC Grha Kedoya (Wide Bore Rehabilitasi),Jakarta Barat,30 - 40,-6.17500*,106.76000*
Siloam Hospitals Kebon Jeruk (Pusat Trauma Saraf),Jakarta Barat,40 - 50,-6.19333*,106.76500*
RS Pondok Indah Puri Indah (Laparoskopi Darurat),Jakarta Barat,30 - 40,-627.205,10.669.808
RSU Hermina Daan Mogot (Kebidanan Lanjut),Jakarta Barat,20 - 30,-6.15500*,106.71167*
Tzu Chi Hospital PIK (Revolusi Ganda AI 1.5T dan Tabung Besar 3T),Jakarta Utara,70 - 95,-6.107.030,106.741.200
Rumah Sakit Gading Pluit (Magnetom Avanto Fit TIM 4G),Jakarta Utara,35 - 45,-6.15833*,106.90833*
RS Pondok Indah Kapuk (RS PIK Whole Body Skrining),Jakarta Utara,30 - 40,-6.11167*,106.74167*
RS Satya Negara (Kranial Bedah Saraf Kritis),Jakarta Utara,25 - 35,-6.13833*,106.86167*
RSU Atma Jaya (Integrasi Wahana Akademik Residen),Jakarta Utara,25 - 35,-6.12667*,106.79167*
RS Penyakit Infeksi Prof. Dr. Sulianti Saroso (Otak Karantina Khusus),Jakarta Utara,15 - 25,-6.13333*,106.86167*
Mitra Keluarga Kelapa Gading (Ortopedi Muskuloskeletal Paripurna),Jakarta Utara,35 - 45,-6.15833*,106.90833*
Primaya Hospital Kelapa Gading (Cardiac MRI Pemetaan Denyut),Jakarta Utara,30 - 40,-6.16667*,106.91667*
RS Islam Jakarta Sukapura (Radiologi Alternatif Utilitas Pesisir Urban),Jakarta Utara,20 - 30,-6.14167*,106.92500*
RSUD Koja (Sentra Penanganan Trauma Logistik Perindustrian Publik),Jakarta Utara,30 - 40,-6.208.239,106.838.821
RS Pusat Otak Nasional (RSPON) Prof. Dr. dr. Mahar Mardjono,Jakarta Timur,55 - 75,-6.246.049,106.870.470
RSUP Persahabatan (Respirasi Jantung Kanker),Jakarta Timur,40 - 60,-6.19500*,106.88333*
Premier Jatinegara Hospital (Fusi Intervensi One-Stop Services),Jakarta Timur,40 - 55,-6.22500*,106.86667*
RS EMC Pulomas (Bedah 24 Jam Darurat),Jakarta Timur,35 - 45,-6.17500*,106.88333*
Columbia Asia Hospital Pulomas,Jakarta Timur,30 - 40,-6.17500*,106.88333*
RS Antam Medika (Trauma Perindustrian Logistik Utara Timur Paripurna),Jakarta Timur,25 - 35,-6.192.675,106.902.506
